EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,IAPractice2Trials.thisRepN,IAPractice2Trials.thisTrialN,IAPractice2Trials.thisN,IAPractice2Trials.thisIndex,EncPractice2Trials.thisRepN,EncPractice2Trials.thisTrialN,EncPractice2Trials.thisN,EncPractice2Trials.thisIndex,RetPractice2Trials.thisRepN,RetPractice2Trials.thisTrialN,RetPractice2Trials.thisN,RetPractice2Trials.thisIndex,Blocks40.thisRepN,Blocks40.thisTrialN,Blocks40.thisN,Blocks40.thisIndex,EATrialsBlocks40.thisRepN,EATrialsBlocks40.thisTrialN,EATrialsBlocks40.thisN,EATrialsBlocks40.thisIndex,EncTrialsBlocks40.thisRepN,EncTrialsBlocks40.thisTrialN,EncTrialsBlocks40.thisN,EncTrialsBlocks40.thisIndex,IATrialsBlocks40.thisRepN,IATrialsBlocks40.thisTrialN,IATrialsBlocks40.thisN,IATrialsBlocks40.thisIndex,RetTrialsBlocks40.thisRepN,RetTrialsBlocks40.thisTrialN,RetTrialsBlocks40.thisN,RetTrialsBlocks40.thisIndex,Blocks10.thisRepN,Blocks10.thisTrialN,Blocks10.thisN,Blocks10.thisIndex,EATrialsBlocks10.thisRepN,EATrialsBlocks10.thisTrialN,EATrialsBlocks10.thisN,EATrialsBlocks10.thisIndex,EncTrialsBlocks10.thisRepN,EncTrialsBlocks10.thisTrialN,EncTrialsBlocks10.thisN,EncTrialsBlocks10.thisIndex,IATrialsBlocks10.thisRepN,IATrialsBlocks10.thisTrialN,IATrialsBlocks10.thisN,IATrialsBlocks10.thisIndex,RetTrialsBlocks10.thisRepN,RetTrialsBlocks10.thisTrialN,RetTrialsBlocks10.thisN,RetTrialsBlocks10.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,FixCross.stopped,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,EAPracticeEndText.started,EAPracticeEndKey.started,EAPracticeEndKey.keys,EAPracticeEndKey.rt,IAPracticeInstructions1Text1.started,IAPracticeInstructions1Text2.started,IAPracticeInstructions1RespText.started,IAPracticeInstructions1Resp.started,IAPracticeInstructions1Resp.keys,IAPracticeInstructions1Resp.rt,IAPracticeInstructions2Text.started,IAPracticeInstructions2Resp.started,IAPracticeInstructions2Resp.keys,IAPracticeInstructions2Resp.rt,has_neg,IAPractice1Stim.started,IAPractice1Resp.started,IAPractice1Text1.started,IAPractice1Resp.keys,IAPractice1Resp.corr,IAPractice1Resp.rt,IAPractice1Feedback.started,IAPostPractice1Resp.started,IAPostPractice1Resp.keys,IAPostPractice1Resp.rt,IATrialStim.started,IATrialRespText.started,IATrialResp.started,IATrialRespText.stopped,IATrialResp.stopped,IATrialResp.keys,IATrialResp.corr,IATrialResp.rt,IAPracticeEndText.started,IAPracticeEndResp.started,IAPracticeEndResp.keys,IAPracticeEndResp.rt,EncPracticeInstructionsText1.started,EncPracticeInstructionsText2.started,EncPracticeInstructionsRespText.started,EncPracticeInstructionsResp.started,EncPracticeInstructionsResp.keys,EncPracticeInstructionsResp.rt,EncPracticeInstructions2Text.started,EncPracticeInstructions2Resp.started,EncPracticeInstructions2Resp.keys,EncPracticeInstructions2Resp.rt,EncPractice1Stim.started,EncPractice1Resp.started,EncPractice1RespText.started,EncPractice1Resp.keys,EncPractice1Resp.corr,EncPractice1Resp.rt,EncPractice1Feedback.started,EncPractice1FeedbackResp.started,EncPractice1FeedbackResp.keys,EncPractice1FeedbackResp.rt,EncImage.started,EncTrialRespText.started,EncTrialResp.started,EncTrialRespText.stopped,EncTrialResp.stopped,EncTrialResp.keys,EncTrialResp.corr,EncTrialResp.rt,EncPracticeEndText.started,EncPracticeEndResp.started,EncPracticeEndResp.keys,EncPracticeEndResp.rt,RetPracticeInstructionsText1.started,RetPracticeInstructionsText2.started,RetPracticeInstructionsResp.started,RetPracticeInstructions1Berry.started,RetPracticeInstructions1Question.started,RetPracticeInstructions1Truck.started,RetPracticeInstructions1House.started,RetPracticeInstructionsNumGuide1.started,RetPracticeInstructionsNumGuide2.started,RetPracticeInstructionsNumGuide3.started,RetPracticeInstructionsNumGuide4.started,RetPracticeInstructionsResp.keys,RetPracticeInstructionsResp.rt,RetPracticeInstructions2Text.started,RetPracticeInstructions2Resp.started,RetPracticeInstructions2Resp.keys,RetPracticeInstructions2Resp.rt,enc_stimname,RetPractice1Stim.started,RetPractice1Resp.started,RetPractice1Berry.started,RetPractice1Question.started,RetPractice1Truck.started,RetPractice1House.started,RetPractice1Resp.keys,RetPractice1Resp.corr,RetPractice1Resp.rt,RetPostPractice1Text.started,RetPostPractice1Resp.started,RetPostPractice1Resp.keys,RetPostPractice1Resp.rt,RetTrialStim.started,RetTrialResp.started,RetTrialQuestion.started,RetTrialBerry.started,RetTrialTruck.started,RetTrialHouse.started,RetTrialResp.stopped,RetTrialQuestion.stopped,RetTrialBerry.stopped,RetTrialTruck.stopped,RetTrialHouse.stopped,RetTrialResp.keys,RetTrialResp.corr,RetTrialResp.rt,RetPracticeEndText.started,RetPracticeEndResp.started,RetPracticeEndResp.keys,RetPracticeEndResp.rt,EATaskInstructionsText1.started,EATaskInstructionsText2.started,EATrialText2.stopped,EATrialResp.stopped,EncTaskInstructionsText1.started,EncTaskInstructionsText2.started,EncTaskInstructionsText1.stopped,EncTaskInstructionsText2.stopped,IATaskInstructionsText1.started,IATaskInstructionsText2.started,RetTaskInstructionsText1.started,RetTaskInstructionsText2.started,RetTaskInstructionsText1.stopped,RetTaskInstructionsText2.stopped,Block1EndText.started,Block1EndText.stopped,EATaskInstructionsText1.stopped,EATaskInstructionsText2.stopped,Block2BreakText.started,Block2BreakKey.started,Block2BreakKey.keys,Block2BreakKey.rt,Block2EndText.started,Block2EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.029.jpeg,2,addadd,,,,,,,,,,,,,872.9363315560004,873.5210336380005,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,873.5210336380005,874.922091436998,874.922091436998,,,4,1,0.1593154680012958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.202.jpeg,0,subadd,,,,,,,,,,,,,875.1043579729994,875.6395885499987,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,875.6395885499987,877.0911675979987,877.0911675979987,,,2,0,0.9023813370004063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.132.jpeg,0,addsub,,,,,,,,,,,,,878.0245571429987,878.5591764890014,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,878.5591764890014,880.0110842639988,880.0110842639988,,,4,0,0.21674994300337858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.145.jpeg,0,addsub,,,,,,,,,,,,,880.243051327001,880.7786932950003,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,880.7786932950003,882.2301567729992,882.2301567729992,,,4,0,1.3008185230028175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.277.jpeg,0,subsub,,,,,,,,,,,,,883.5469175350008,884.1493128660004,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,884.1493128660004,885.5336331959988,885.5336331959988,,,3,1,0.5006688350003969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.166.jpeg,1,subadd,,,,,,,,,,,,,886.0497033760003,886.6009214219994,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,886.6009214219994,888.0364960730003,888.0364960730003,,,2,1,1.0609011930027918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.025.jpeg,6,addadd,,,,,,,,,,,,,889.120937806998,889.6715753959979,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,889.6715753959979,891.1063719339982,891.1063719339982,,,2,1,0.4632604660000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.292.jpeg,0,subsub,,,,,,,,,,,,,891.5894635309996,892.1240541029983,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,892.1240541029983,893.5754800049981,893.5754800049981,895.0775376620004,895.0775376620004,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.078.jpeg,4,addsub,,,,,,,,,,,,,895.0939705339988,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,895.6448134720013,897.0797224449998,897.0797224449998,,,2,1,0.058577338997565676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.056.jpeg,0,addadd,,,,,,,,,,,,,897.1622975719984,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,897.7143279580014,899.1485742490004,899.1485742490004,,,3,1,0.8926617549986986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.256.jpeg,12,subsub,,,,,,,,,,,,,900.0660691289995,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,900.6175968899988,902.0518615740002,902.0518615740002,,,4,1,0.518584829998872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.264.jpeg,2,subsub,,,,,,,,,,,,,902.6022823130006,903.1534161529999,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,903.1534161529999,904.5880596479983,904.5880596479983,906.0897658379981,906.0897658379981,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.203.jpeg,0,subadd,,,,,,,,,,,,,906.1067126829985,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,906.6392123219994,908.0919414890013,908.0919414890013,909.5934900089997,909.5934900089997,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.048.jpeg,2,addadd,,,,,,,,,,,,,909.6102461240007,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,910.1430325520014,911.595820038001,911.595820038001,,,4,1,1.3343257990018174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.195.jpeg,1,subadd,,,,,,,,,,,,,912.9470321619992,913.4818614420001,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,913.4818614420001,914.932653849999,914.932653849999,,,4,1,0.5895042849988386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.062.jpeg,0,addadd,,,,,,,,,,,,,915.5496938040014,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,916.100558539998,917.5348039290002,917.5348039290002,,,4,0,0.3313524260011036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.159.jpeg,1,subadd,,,,,,,,,,,,,917.8847475600014,918.4367062150013,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,918.4367062150013,919.8714420879987,919.8714420879987,921.3718042209985,921.3718042209985,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.024.jpeg,6,addadd,,,,,,,,,,,,,921.3893209529997,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,921.9408316349982,923.3754256329994,923.3754256329994,924.8771849469995,924.8771849469995,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.001.jpeg,1,addadd,,,,,,,,,,,,,924.8937105330006,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,925.4450789420007,926.8793438200009,926.8793438200009,,,2,1,0.8670602759993926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.070.jpeg,0,addadd,,,,,,,,,,,,,927.7635220369993,928.3140991039982,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,928.3140991039982,929.749112417001,929.749112417001,,,2,0,0.5250710959990101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.040.jpeg,3,addadd,,,,,,,,,,,,,930.2989501049997,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,930.8330337469997,932.2854399960015,932.2854399960015,,,4,1,1.1006477720002295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_24.jpg,,fruit,,,,,,,,,,,,,948.4027608159995,948.9699399950005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encod_Stim.024.jpeg,,,,,,,,,,,,,,948.9699399950005,950.3876426140014,950.3876426140014,950.3876426140014,950.3876426140014,950.3876426140014,951.890148456001,951.890148456001,951.890148456001,951.890148456001,951.890148456001,None,0,,,,,,,,,,,,,,,,933.4020434759987,933.4020434759987,948.4027608159995,948.4027608159995,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_203.jpg,,fruit,,,,,,,,,,,,,951.9054490650014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encod_Stim.203.jpeg,,,,,,,,,,,,,,952.456141177001,953.8923869600003,953.8923869600003,953.8923869600003,953.8923869600003,953.8923869600003,955.3937071190012,955.3937071190012,955.3937071190012,955.3937071190012,955.3937071190012,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_202.jpg,,fruit,,,,,,,,,,,,,955.4104748600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encod_Stim.202.jpeg,,,,,,,,,,,,,,955.9275428789988,957.3960626919979,957.3960626919979,957.3960626919979,957.3960626919979,957.3960626919979,,,,,,3,0,0.934629612002027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1_85.jpg,,building,,,,,,,,,,,,,958.3470416540003,958.914491558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encod_Stim.085.jpeg,,,,,,,,,,,,,,958.914491558,960.3326120480015,960.3326120480015,960.3326120480015,960.3326120480015,960.3326120480015,,,,,,2,0,0.9893420080006763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_256.jpg,,building,,,,,,,,,,,,,961.3504034299986,961.8844603360012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encod_Stim.256.jpeg,,,,,,,,,,,,,,961.8844603360012,963.3360480070005,963.3360480070005,963.3360480070005,963.3360480070005,963.3360480070005,,,,,,1,0,0.8494553070013353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_235.jpg,,building,,,,,,,,,,,,,964.2035931210012,964.7540675150012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encod_Stim.235.jpeg,,,,,,,,,,,,,,964.7540675150012,966.1891532560003,966.1891532560003,966.1891532560003,966.1891532560003,966.1891532560003,,,,,,1,0,0.46042422800019267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-02-19_13h38.21.409,RetGoals_V1,2022.2.4,60.05146242148951,
