EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,IAPractice2Trials.thisRepN,IAPractice2Trials.thisTrialN,IAPractice2Trials.thisN,IAPractice2Trials.thisIndex,EncPractice2Trials.thisRepN,EncPractice2Trials.thisTrialN,EncPractice2Trials.thisN,EncPractice2Trials.thisIndex,RetPractice2Trials.thisRepN,RetPractice2Trials.thisTrialN,RetPractice2Trials.thisN,RetPractice2Trials.thisIndex,Blocks40.thisRepN,Blocks40.thisTrialN,Blocks40.thisN,Blocks40.thisIndex,EATrialsBlocks40.thisRepN,EATrialsBlocks40.thisTrialN,EATrialsBlocks40.thisN,EATrialsBlocks40.thisIndex,EncTrialsBlocks40.thisRepN,EncTrialsBlocks40.thisTrialN,EncTrialsBlocks40.thisN,EncTrialsBlocks40.thisIndex,IATrialsBlocks40.thisRepN,IATrialsBlocks40.thisTrialN,IATrialsBlocks40.thisN,IATrialsBlocks40.thisIndex,RetTrialsBlocks40.thisRepN,RetTrialsBlocks40.thisTrialN,RetTrialsBlocks40.thisN,RetTrialsBlocks40.thisIndex,Blocks10.thisRepN,Blocks10.thisTrialN,Blocks10.thisN,Blocks10.thisIndex,EATrialsBlocks10.thisRepN,EATrialsBlocks10.thisTrialN,EATrialsBlocks10.thisN,EATrialsBlocks10.thisIndex,EncTrialsBlocks10.thisRepN,EncTrialsBlocks10.thisTrialN,EncTrialsBlocks10.thisN,EncTrialsBlocks10.thisIndex,IATrialsBlocks10.thisRepN,IATrialsBlocks10.thisTrialN,IATrialsBlocks10.thisN,IATrialsBlocks10.thisIndex,RetTrialsBlocks10.thisRepN,RetTrialsBlocks10.thisTrialN,RetTrialsBlocks10.thisN,RetTrialsBlocks10.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,FixCross.stopped,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,EAPracticeEndText.started,EAPracticeEndKey.started,EAPracticeEndKey.keys,EAPracticeEndKey.rt,IAPracticeInstructions1Text1.started,IAPracticeInstructions1Text2.started,IAPracticeInstructions1RespText.started,IAPracticeInstructions1Resp.started,IAPracticeInstructions1Resp.keys,IAPracticeInstructions1Resp.rt,IAPracticeInstructions2Text.started,IAPracticeInstructions2Resp.started,IAPracticeInstructions2Resp.keys,IAPracticeInstructions2Resp.rt,has_neg,IAPractice1Stim.started,IAPractice1Resp.started,IAPractice1Text1.started,IAPractice1Resp.keys,IAPractice1Resp.corr,IAPractice1Resp.rt,IAPractice1Feedback.started,IAPostPractice1Resp.started,IAPostPractice1Resp.keys,IAPostPractice1Resp.rt,IATrialStim.started,IATrialRespText.started,IATrialResp.started,IATrialResp.keys,IATrialResp.corr,IATrialResp.rt,IAPracticeEndText.started,IAPracticeEndResp.started,IAPracticeEndResp.keys,IAPracticeEndResp.rt,EncPracticeInstructionsText1.started,EncPracticeInstructionsText2.started,EncPracticeInstructionsRespText.started,EncPracticeInstructionsResp.started,EncPracticeInstructionsResp.keys,EncPracticeInstructionsResp.rt,EncPracticeInstructions2Text.started,EncPracticeInstructions2Resp.started,EncPracticeInstructions2Resp.keys,EncPracticeInstructions2Resp.rt,EncPractice1Stim.started,EncPractice1Resp.started,EncPractice1RespText.started,EncPractice1Resp.keys,EncPractice1Resp.corr,EncPractice1Resp.rt,EncPractice1Feedback.started,EncPractice1FeedbackResp.started,EncPractice1FeedbackResp.keys,EncPractice1FeedbackResp.rt,EncImage.started,EncTrialRespText.started,EncTrialResp.started,EncTrialRespText.stopped,EncTrialResp.stopped,EncTrialResp.keys,EncTrialResp.corr,EncTrialResp.rt,EncPracticeEndText.started,EncPracticeEndResp.started,EncPracticeEndResp.keys,EncPracticeEndResp.rt,RetPracticeInstructionsText1.started,RetPracticeInstructionsText2.started,RetPracticeInstructionsResp.started,RetPracticeInstructions1Berry.started,RetPracticeInstructions1Question.started,RetPracticeInstructions1Truck.started,RetPracticeInstructions1House.started,RetPracticeInstructionsNumGuide1.started,RetPracticeInstructionsNumGuide2.started,RetPracticeInstructionsNumGuide3.started,RetPracticeInstructionsNumGuide4.started,RetPracticeInstructionsResp.keys,RetPracticeInstructionsResp.rt,RetPracticeInstructions2Text.started,RetPracticeInstructions2Resp.started,RetPracticeInstructions2Resp.keys,RetPracticeInstructions2Resp.rt,enc_stimname,RetPractice1Stim.started,RetPractice1Resp.started,RetPractice1Berry.started,RetPractice1Question.started,RetPractice1Truck.started,RetPractice1House.started,RetPractice1Resp.keys,RetPractice1Resp.corr,RetPractice1Resp.rt,RetPostPractice1Text.started,RetPostPractice1Resp.started,RetPostPractice1Resp.keys,RetPostPractice1Resp.rt,RetTrialStim.started,RetTrialResp.started,RetTrialQuestion.started,RetTrialBerry.started,RetTrialTruck.started,RetTrialHouse.started,RetTrialResp.stopped,RetTrialQuestion.stopped,RetTrialBerry.stopped,RetTrialTruck.stopped,RetTrialHouse.stopped,RetTrialResp.keys,RetTrialResp.corr,RetTrialResp.rt,RetPracticeEndText.started,RetPracticeEndResp.started,RetPracticeEndResp.keys,RetPracticeEndResp.rt,EATaskInstructionsText1.started,EATaskInstructionsText2.started,EATrialText2.stopped,EATrialResp.stopped,EncTaskInstructionsText1.started,EncTaskInstructionsText2.started,IATaskInstructionsText1.started,IATaskInstructionsText2.started,RetTaskInstructionsText1.started,RetTaskInstructionsText2.started,RetTaskInstructionsText1.stopped,RetTaskInstructionsText2.stopped,Block1EndText.started,EncTaskInstructionsText1.stopped,EncTaskInstructionsText2.stopped,Block1EndText.stopped,EATaskInstructionsText1.stopped,EATaskInstructionsText2.stopped,IATrialRespText.stopped,IATrialResp.stopped,Block2BreakText.started,Block2BreakKey.started,Block2BreakKey.keys,Block2BreakKey.rt,Block2EndText.started,Block2EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.170.jpeg,1,subadd,,,,,,,,,,,,,2023.639986034,2024.1909735729998,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2024.1909735729998,2025.625672978,2025.625672978,2,1,0.7934339660002365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.235.jpeg,7,subsub,,,,,,,,,,,,,2026.4421580279998,2026.9762860989997,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2026.9762860989997,2028.428601116,2028.428601116,2,1,0.55847490900004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.112.jpeg,1,addsub,,,,,,,,,,,,,2029.0116044489998,2029.5634622639998,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2029.5634622639998,2030.9982708199998,2030.9982708199998,4,1,0.6210886770001594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.142.jpeg,0,addsub,,,,,,,,,,,,,2031.6488182589999,2032.1817672529999,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2032.1817672529999,2033.63435249,2033.63435249,3,1,0.39281327299994473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.272.jpeg,2,subsub,,,,,,,,,,,,,2034.0512555029998,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2034.6010585749998,2036.037055953,2036.037055953,4,1,0.8936836569998263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.067.jpeg,0,addadd,,,,,,,,,,,,,2036.954480179,2037.505611488,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2037.505611488,2038.9401534379997,2038.9401534379997,3,1,0.5186280160002639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.100.jpeg,10,addsub,,,,,,,,,,,,,2039.4902840759999,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2040.023692949,2041.4764678199997,2041.4764678199997,2,1,0.3346800120004332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.090.jpeg,14,addsub,,,,,,,,,,,,,2041.8433753329998,2042.4110080929997,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2042.4110080929997,2043.828915798,2043.828915798,2,1,0.6854055470000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.019.jpeg,4,addadd,,,,,,,,,,,,,2044.546262097,2045.0970473569998,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2045.0970473569998,2046.5319561439999,2046.5319561439999,2,1,0.5354816269997968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.200.jpeg,9,subadd,,,,,,,,,,,,,2047.099156643,2047.632622973,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2047.632622973,2049.0848829680003,2049.0848829680003,4,1,0.4779983190002781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.191.jpeg,15,subadd,,,,,,,,,,,,,2049.584538914,2050.119270235,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2050.119270235,2051.5706556,2051.5706556,4,1,0.30408017899998185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.220.jpeg,0,subadd,,,,,,,,,,,,,2051.904565069,2052.470738494,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2052.470738494,2053.8901806070003,2053.8901806070003,3,1,0.6806696820000866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.038.jpeg,6,addadd,,,,,,,,,,,,,2054.5908052090003,2055.141723965,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2055.141723965,2056.576472489,2056.576472489,4,1,0.45175245200033487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.168.jpeg,1,subadd,,,,,,,,,,,,,2057.060047901,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2057.594443636,2059.0458691840004,2059.0458691840004,2,1,0.9665658750001853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.239.jpeg,1,subsub,,,,,,,,,,,,,2060.030083476,2060.5810702510003,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2060.5810702510003,2062.0158054410003,2062.0158054410003,2,1,0.7948720969999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.008.jpeg,2,addadd,,,,,,,,,,,,,2062.8324207220003,2063.366124008,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2063.366124008,2064.818866615,2064.818866615,2,1,0.40806983600049307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.275.jpeg,5,subsub,,,,,,,,,,,,,2065.252390344,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2065.786498812,2067.23809872,2067.23809872,4,1,0.8691392059997156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.267.jpeg,8,subsub,,,,,,,,,,,,,2068.138919155,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2068.6719774860003,2070.1247307010003,2070.1247307010003,4,1,1.0383074870002815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.264.jpeg,2,subsub,,,,,,,,,,,,,2071.192446846,2071.743009846,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2071.743009846,2073.178014596,2073.178014596,4,1,0.5046293820002461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.259.jpeg,6,subsub,,,,,,,,,,,,,2073.711716564,2074.245601307,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2074.245601307,2075.697581899,2075.697581899,4,1,0.6098303000000556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.031.jpeg,8,addadd,,,,,,,,,,,,,2076.331204249,2076.899132637,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2076.899132637,2078.317280474,2078.317280474,4,1,0.6540949699999032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.173.jpeg,3,subadd,,,,,,,,,,,,,2079.00104885,2079.533929967,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2079.533929967,2080.986687779,2080.986687779,2,1,0.680656365999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.157.jpeg,2,subadd,,,,,,,,,,,,,2081.687247314,2082.220947884,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2082.220947884,2083.672990889,2083.672990889,2,1,0.8738691489999724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.024.jpeg,6,addadd,,,,,,,,,,,,,2084.57360478,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2085.1247828250002,2086.559316016,2086.559316016,2,1,1.1399512079999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.266.jpeg,2,subsub,,,,,,,,,,,,,2087.72667667,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2088.278255101,2089.7129795180003,2089.7129795180003,4,1,0.9219080740001004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.204.jpeg,0,subadd,,,,,,,,,,,,,2090.663940969,2091.214402006,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2091.214402006,2092.649574547,2092.649574547,3,1,0.5450891030001799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.131.jpeg,0,addsub,,,,,,,,,,,,,2093.2167709640003,2093.7676647040003,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2093.7676647040003,2095.20241135,2095.20241135,3,1,0.5853957960000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.039.jpeg,1,addadd,,,,,,,,,,,,,2095.8196844100003,2096.370473076,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2096.370473076,2097.8053579720004,2097.8053579720004,4,1,0.8536030890001598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-02-20_17h03.48.667,RetGoals_V1,2022.2.4,60.00312880314456,
